file_name,canonical_method,canonical_variable,policy_domain,target_countries,geopolitical_scope,method_family,policy_actionability_score,policy_recommendation_excerpt
66. Zhan & Qiao (2022). Diagnostic Classification Analysis Of Problem-Solving Competence Using Process Data: An Item Expansion Method.pdf,None,Latent problem-solving ability (HO-DINA θ1) vs PCM θ2 | Diagnostic classification of problem-solving skill mastery patterns,Cross-Cutting_Methodological,USA;SGP;AUT;TUR,Multi-Country,Review_or_Methodology,3,"Using PISA 2012 TICKETS task 2 (CP038Q01) process data, the study leveraged the five problem-solving skills (α1–α5) to estimate latent problem-solving ability via the higher-order HO-DINA model and compared it to a unidimensional PCM outcome-based estimate, finding that the HO-DINA ability estimates were strongly correlated with PCM (r = 0.826) and had significantly smaller standard errors, indicating more accurate and more precise ability estimation from action-level process data."
67. Anghel et al. (2024). The use of process data in large‑scale assessments: a literature review.pdf,None,problem-solving,Cross-Cutting_Methodological,Unspecified,Unspecified,Review_or_Methodology,2,"Using PISA the study leveraged the reported predictors to predict problem-solving, finding that This scoping review used structural topic modeling (STM) on the abstracts of 221 empirical studies to identify recurring themes in the use of process/log-file data in large-scale assessments."
68. Peters et al. (2025). Review of Text-Based Approaches to Item Difficulty Modeling in Large-Scale Assessments.pdf,None,Not_specified,Cross-Cutting_Methodological,Unspecified,Unspecified,Review_or_Methodology,1,[Purely Methodological / No Explicit Policy Statement]
69. Hernández‑Torrano & Courtney. (2021). Modern international large‑scale assessment in education: an integrative review and mapping of the literature.pdf,None,Literature synthesis outcome (not student-level prediction),Resource_Allocation_Equity;Socio-Emotional_Intervention,USA;DEU;CHN;TUR;ESP;GBR;AUS;ITA;NLD;SWE;BEL;NOR;ZAF;CAN;FIN;ARG;COL;CZE;DNK;GEO;MLT;VNM,Global,Review_or_Methodology,2,"Using PISA the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This integrative bibliometric review maps modern ILSA research in education using 2,233 Web of Science-indexed journal articles and reviews (1997–2020 coverage in the bibliometric analyses)."
7. Alas & Tezer. (2024). Artificial Neural Network and Adaptive Neuro Fuzzy Inference System Hybridized Models in the Sustainable Integration of Language and Mathematics Skills: The Case of Singapore and Hong Kong.pdf,ANFIS,Language skills in native curriculum (predicted from math language themes),Curriculum_and_Instruction,SGP;HKG,Multi-Country,Hybrid_Penalized,3,"Using PISA 2018 mathematics/reading score information for Singapore and Hong Kong together with curriculum content-analysis-derived language-theme frequencies, the study leveraged verbal skills (from native-language curriculum themes) and math curriculum language themes to predict language skills in the native language teaching programs, finding an overall insufficient relationship (ANN R²≈0.35; ANFIS slightly higher R²≈0.40) with lower error for ANFIS (RMSE≈12.43 vs 17.64)."
70. Maia et al. (2023). Applications of Artificial Intelligence Models in Educational Analytics and Decision Making: A Systematic Review.pdf,None,Literature synthesis outcome (not student-level prediction),Cross-Cutting_Methodological,PRT;TUR;BRA,Multi-Country,Review_or_Methodology,2,"Using PISA the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that As a systematic review, the paper does not train or evaluate machine learning models on an original student-level dataset, so no predictive performance metrics (e.g., accuracy, RMSE, AUC) are reported for this review itself."
71. Huang et al. (2025). The Application of Machine Learning to Educational Process Data Analysis: A Systematic Review.pdf,None,Not_specified,Cross-Cutting_Methodological,Unspecified,Unspecified,Review_or_Methodology,1,[Purely Methodological / No Explicit Policy Statement]
72. Teig. (2024). Uncovering Student Strategies for Solving Scientific Inquiry Tasks: Insights from Student Process Data in PISA.pdf,None,Inquiry response accuracy (MC and data response) | Inquiry performance profiles (strategic vs emergent vs disengaged),Curriculum_and_Instruction;Socio-Emotional_Intervention,NOR,Country-Specific,Review_or_Methodology,4,"Using PISA 2015 Field Trial (Norway) Task 1 the study leveraged VOTAT navigation behavior, number of actions/trials, and response-time indicators to characterize how students’ inquiry process patterns relate to MC and data-response accuracy, finding that VOTAT-based sequences were common but only a minority solved the task correctly and that successful students showed more goal-oriented exploration patterns."
73. Yun et al. (2025). Discovering action insights from large-scale assessment log data using machine learning.pdf,Neural Network,High vs low performance (score3 vs score0) | Correct vs incorrect performance,Cross-Cutting_Methodological,BEL,Country-Specific,Deep_Learning,5,"Using PIAAC 2012 “Party Invitation” log the study leveraged action-sequence representations (Word2Vec/Doc2Vec) to predict high vs low performance (score3 vs score0), finding that focusing on mail-moving actions (Case 2) produced the strongest separation (silhouette 0.491) and the highest classification performance (NN Accuracy 94.6%, F1 0.962), while excluding these actions reduced both clustering coherence and predictive efficiency."
74. Ding et al. (2025). Evaluating test-taking motivation based on process data and its influence on academic performance.pdf,None,Science academic performance (Plausible Value 1),Resource_Allocation_Equity;Socio-Emotional_Intervention,CHN;SGP;KOR;JPN;GBR;USA;CAN;AUS,Multi-Country,Review_or_Methodology,3,"Using PISA 2018 Science data (clusters S01 & S02) the study leveraged behavioral effort (derived from process indicators), self-reported effort, and response time effort (RTE)—while controlling for SES, gender, competitiveness, and work mastery—to predict science academic performance (PV1)."
75. Aydin et al. (2025). Investigating the Predictive Performance of Process Data and Result Data in Complex Problem Solving Using the Conditional Gradient Boosting Algorithm.pdf,Gradient Boosting,"CPS score (model-based, EAP-scaled)",Socio-Emotional_Intervention,TUR,Country-Specific,Ensemble_Learning,3,"Using PISA 2012 Türkiye CPS process-data (from the first climate control item CP025Q01) to predict the CPS score, the study found that VOTAT strategy score and total time were the most influential predictors, with moderate predictive performance (R² = 0.551)."
76. Guo et al. (2024). Human-Centered AI for Discovering Student Engagement Profiles on Large-Scale Educational Assessments.pdf,Random Forest,Engagement profile label (10-profile classification),Socio-Emotional_Intervention,USA,Country-Specific,Ensemble_Learning,4,"Using NAEP 2022 Grade 8 Mathematics item-block the study leveraged total block score, total time on block, total number of visits, item response time category, and item navigation sequence to predict engagement profile membership across ten preliminary profiles, finding that the resulting profiles were differentiable and that about 60% of students fell into low/very-low-score profiles while about 40% fell into medium-or-higher-score profiles."
77. Shin et al. (2024). An engagement‑aware predictive model to evaluate problem‑solving performance from the study of adult skills’ (PIAAC 2012) process data.pdf,LSTM,Problem-solving performance (categorical score) | Task engagement (binary engaged/disengaged),Socio-Emotional_Intervention,USA;KOR;GBR,Multi-Country,Deep_Learning,3,"Using PIAAC 2012 PS-TRE (Booklet PS1) process-log the study leveraged engagement status, navigation network statistics, and response time to predict problem-solving performance, finding that the Effort-Aware Attention-LSTM improved performance across all three countries and all three metrics (accuracy, AUC, and F1) relative to the non-engagement-aware Attention-LSTM."
78. Salles et al. (2025). When didactics meet data science: process data analysis in large‑scale mathematics assessment in France.pdf,Random Forest,Item success (correct boolean),Cross-Cutting_Methodological,FRA,Country-Specific,Ensemble_Learning,3,"Using CEDRE May 2017 Grade 9 “Tree growth” process-data logs, the study leveraged month list length, variance (std dev) of tested values, and distances from early inputs to the target (plus alternation behavior) to predict item success (correct boolean), finding that these process-derived features were decisive and that the Random Forest achieved ROC AUC = 0.78."
79. Pejic & Molcer. (2021). Predictive Machine Learning Approach for Complex Problem Solving Process Data Mining.pdf,Neural Network,Climate Control task success (TRUE/FALSE),Cross-Cutting_Methodological,Unspecified,Unspecified,Deep_Learning,3,"Using PISA 2012 CBA Problem Solving (Climate Control CP025Q01) the study leveraged VOTAT strategy usage ratios and time spent on task phases to predict Climate Control task success (TRUE/FALSE), finding that deep learning achieved the highest F-measure with VOTAT-based features (94.3%, optimized 94.9%), while time-based features yielded substantially lower performance (F-measure 77.1%, optimized 77.9%)."
8. Acıslı-Celik & Yesilkanat. (2023). Predicting science achievement scores with machine learning algorithms: a case study of OECD PISA 2015–2018 data.pdf,XGBoost,PISA-2018 science achievement (PV2SCIE),Resource_Allocation_Equity,BRA;TWN;DOM;EST;FIN;HUN;ITA;JPN;LTU;LUX;PER;SGP;TUR,Global,Ensemble_Learning,3,"Using PISA 2015 Science (PV2SCIE) data to predict PISA 2018 Science (PV2SCIE) for 13 countries, the study leveraged science learning time (SMINS), socioeconomic status (ESCS), home possessions (HOMEPOS), and total learning time (TMINS) to predict future science achievement, finding that XGBoost achieved the best predictive performance across all countries (highest correlations and lowest RMSE/MAE relative to MLR, SVR, and Random Forest)."
80. Peters et al. (2025). Text-Based Approaches to Item Difficulty Modeling in Large-Scale Assessments: A Systematic Review.pdf,None,item difficulty,Cross-Cutting_Methodological,Unspecified,Unspecified,Review_or_Methodology,2,"Using ILSA literature synthesis (systematic review; no single student-level analytic micro-dataset) the study leveraged the reported predictors to predict item difficulty, finding that This systematic review synthesizes 37 articles (46 studies) on text-based item difficulty prediction in large-scale assessment contexts."
81. Schipper et al. (2025). Identifying students’ solution strategies in digital mathematics assessment using log data.pdf,None,Mathematical ability (WLE theta) differences across solution-strategy classes,Socio-Emotional_Intervention,FRA,Country-Specific,Review_or_Methodology,3,"Using CEDRE 2019 Grade 9 digital mathematics item the study leveraged log-derived engagement and input-behavior variables (e.g., interactions, time away, response time, and whether key values were entered) to identify five solution-strategy classes via finite mixture clustering, and found that the disengaged class (class 5) had the lowest estimated mathematical ability (WLE theta) with large, Bonferroni-adjusted effect sizes."
82. Costa & Chen. (2023). Exploring the relationship between process data and contextual variables among Scandinavian students on PISA 2012 mathematics tasks.pdf,None,Latent math performance (response accuracy) | Latent speed (log response time) | Latent exploration behaviour (log frequency of actions) | Measurement invariance of the three-factor process model,Resource_Allocation_Equity,DNK;SWE;NOR,Multi-Country,Review_or_Methodology,3,"Using PISA 2012 CBAM data for CM015Q01/CM015Q02D/CM015Q03D, the study leveraged ESCS, gender, language at home, immigration background, and contextual ICT/OTL variables to explain latent math performance (response accuracy), finding that ESCS consistently increased math proficiency across Denmark, Sweden, and Norway, while gender effects were country-specific (present in Denmark and Sweden only), ExPureM improved performance in Sweden and Norway only, and ICT showed a negative association with math performance in Denmark."
83. Murchan & Siddiq. (2021). A call to action: a systematic review of ethical and regulatory issues in using process data in educational assessment.pdf,None,Literature synthesis outcome (not student-level prediction),Cross-Cutting_Methodological,AUS;ESP;USA;DEU;NLD;UKR,Multi-Country,Review_or_Methodology,2,"Using ILSA literature synthesis (systematic review; no single student-level analytic micro-dataset) the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This paper is a systematic review (not an ML modeling study) examining how ethical, privacy, and regulatory considerations are addressed in research using process/log data in educational assessment."
84. Gong et al. (2023). Using process features to investigate scientific problem-solving in large-scale assessments.pdf,None,"Item score (rubric-based, 1–3) | Item score (rubric-based, 1–4)",Cross-Cutting_Methodological,USA,Country-Specific,Review_or_Methodology,5,"Using NAEP 2018 Science pilot fair test 1 (Grade 8) the study leveraged preparation time (PT), execution time (ET), and mean execution time (MET) to analyze rubric-based item scores, finding that higher-scoring students tended to spend less time executing actions and (for full-score vs lowest-score) less time preparing and executing on average."
85. Ludwig et al. (2024). Predicting problem-solving success in an office simulation applying N-grams and a random forest to behavioral process data.pdf,Random Forest,Problem-solving success (binary class; more vs less successful),Cross-Cutting_Methodological,DEU,Country-Specific,Ensemble_Learning,3,"Using Luca office-simulation log data from VET students, the study leveraged early-window process indicators captured via n-gram/bigram behavior patterns—especially note-taking, relevant document access, spreadsheet calculation, and attachment-download sequences—to predict binary problem-solving success, finding that predictive performance improves as the early window expands from 5 to 20 minutes (AUC ROC 0.61→0.67) and further improves with feature selection (up to ~0.70)."
86. Pejic et al. (2022). Improving math proficiency prediction in computer- based international large-scale assessments with data augmentation.pdf,Neural Network,Math proficiency class (low/medium/high),Curriculum_and_Instruction;Resource_Allocation_Equity,Unspecified,Unspecified,Deep_Learning,3,"Using PISA 2012 computer-based assessment the study leveraged student math attitudes, books at home, mathematics efficacy, and out-of-school study time variables to predict three math proficiency classes, finding that training with synthetic data (especially CTGAN for minority-class recall and G-mean) improved minority-class prediction while majority-class performance deteriorated."
87. Kara. (2025). Exploring Test-Taking Disengagement in the Context of PISA 2022: Evidence from Process Data.pdf,None,Engagement profile membership (LPA profiles) | Mathematics achievement (profile differences),Socio-Emotional_Intervention,TUR,Country-Specific,Review_or_Methodology,4,"Using PISA 2022 (Turkey) mathematics the study leveraged response time (RT), number of actions (NA), and self-reported effort (SRE) to classify students into engagement profiles, finding three distinct groups: Moderately Engaged (Profile 1, 82.79%), Highly Engaged (Profile 2, 7.20%), and Disengaged (Profile 3, 10.01%)."
88. Park et al. (2023). Understanding students’ problem-solving patterns: Evidence from an allotted response time in a PISA 2012 item.pdf,Elastic Net,Overall problem-solving ability (PISA scale-score ratio),Cross-Cutting_Methodological,Unspecified,Unspecified,Hybrid_Penalized,3,"Using PISA 2012 CPS Ticket item CP038q1 data for students with the correct answer, the study leveraged time_start, time_b1, time_b3, time_irrelevant, and time_avg_btw_events to predict overall problem-solving ability (PISA scale-score ratio), finding that these time-related process variables were the most consistently selected and yielded a test-set RMSE of 0.18."
89. Lee et al. (2025). Uncovering Behavioral Patterns in Creative Thinking: Utilizing and Interpreting PISA 2022 Process Data.pdf,None,how PISA defines engagement/disengagement-related indicators achievement,Curriculum_and_Instruction;Socio-Emotional_Intervention,Unspecified,Unspecified,Review_or_Methodology,1,[Purely Methodological / No Explicit Policy Statement]
9. Alkan et al. (2025). Educational improvement through machine learning: Strategic models for better PISA scores.pdf,Random Forest,Country success in reading (high vs low) | Country success in mathematics (high vs low) | Country success in science (high vs low),Curriculum_and_Instruction;Resource_Allocation_Equity,AUS;AUT;BEL;CAN;CHE;CHL;COL;CRI;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HUN;IRL;ISL;ISR;ITA;JPN;KOR;LUX;MEX;NLD;NOR;NZL;POL;PRT;SVK;SWE;TUR;USA;ZAF,Global,Ensemble_Learning,3,"Using PISA 2018 data for OECD countries, the study leveraged total weekly teaching load (CPERWEEK), foreign-language weekly lessons (CPERFORLAN), ICT resources (ICTRES), ESCS, and highest parental occupational status (HISEI) to predict country success in reading, finding that CPERWEEK and CPERFORLAN were among the strongest predictors while metacognition credibility (METASPAM) had the lowest coefficient among the selected set."
90. Han et al. (2023). Behavioral patterns in collaborative problem solving: a latent profile analysis based on response times and actions in PISA 2015.pdf,None,ColPS overall performance (PVCLPS),Cross-Cutting_Methodological,AUS;CAN;HKG;LUX;MAC;NZL;SGP;SWE;ARE;GBR;USA,Global,Review_or_Methodology,3,"Using PISA 2015 ColPS (Xandar unit) the study leveraged response-time and action indicators across the four parts to identify two latent behavioral profiles and then compared them on overall ColPS performance (PVCLPS), finding that Profile 1 (more efficient, fewer actions and shorter response times) outperformed Profile 2 by 129.41 PV points on average (p<.01)."
91. Pejic et al. (2021). Math proficiency prediction in computer-based international large-scale assessments using a multi-class machine learning model.pdf,Random Forest,Math proficiency class (low/mediocre/high),Resource_Allocation_Equity;Socio-Emotional_Intervention,Unspecified,Unspecified,Ensemble_Learning,3,"Using PISA 2012 CBA Mathematics the study leveraged mathematics efficacy, books at home, literature possessions, and out-of-school study time indicators to predict students’ three-class math proficiency, finding that a Random Forest model with recursive feature elimination achieved the best overall performance (highest micro F1/recall and best Cohen’s Kappa among tested configurations)."
92. Park et al. (2025). Measurement Invariance for Multilingual Learners Using Item Response and Response Time in PISA 2018.pdf,None,Differential item functioning (DIF) in scored responses | Latent ability differences (WLE theta) between ML and non-ML | Differential response time (DRT) between ML and non-ML,Resource_Allocation_Equity;Socio-Emotional_Intervention,USA,Country-Specific,Review_or_Methodology,4,"This indicates that these patterns have implications for educational policy and instructional practice, though cross-sectional ILSA designs cannot establish causality."
93. Liang et al. (2023). Using Process Data to Improve Classification Accuracy of Cognitive Diagnosis Model.pdf,None,"Attribute classification reliability (tetrachoric reliability; attribute reliabilities) | Person classification accuracy (pattern correct classification rate, PCCR) | Attribute-level classification accuracy (ACCR)",Cross-Cutting_Methodological,CHN,Country-Specific,Review_or_Methodology,3,"Using PISA 2018 computer-based reading the study leveraged item response accuracy together with response times and mouse-action traces to predict attribute mastery/classification reliability, finding that the joint model (JCDM-RRT) produced higher attribute classification reliability (0.494) than models using no process data (0.437) or only RTs (0.454)."
94. Robitzsch & Lüdtke. (2022). Some thoughts on analytical choices in the scaling model for test scores in international large‑scale assessment studies.pdf,None,Literature synthesis outcome (not student-level prediction),Socio-Emotional_Intervention,Unspecified,Unspecified,Review_or_Methodology,2,"Using PISA the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This is not an empirical ML study; it is a methodological paper arguing for design-based inference as the preferred basis for official reporting in international large-scale assessments."
95. Bungaro et al. (2024). Jointly exploring mathematics ability and speed in large‑scale computer‑based testing.pdf,None,Mathematics ability (latent ability) | Test-taking speed (latent speed),Resource_Allocation_Equity;Socio-Emotional_Intervention,ITA,Country-Specific,Review_or_Methodology,3,"Using INVALSI 2017–2018 Grade 10 Mathematics the study leveraged prior achievement, math test anxiety, gender, ESCS, and class average ESCS to explain latent mathematics ability, finding that ability is negatively associated with speed and decreases substantially at higher levels of test anxiety (non-linear pattern), with lower prior achievement linked to lower ability and higher class ESCS linked to higher ability."
96. Li et al. (2025). Exploring the Evidence to Interpret Differential Item Functioning via Response Process Data.pdf,Random Forest,Gender DIF item label (DIF vs DIF-free),Cross-Cutting_Methodological,USA,Country-Specific,Ensemble_Learning,3,"Using PIAAC 2012 Computer-based Numeracy (United States) the study leveraged response-process timing features (RT, FIRST_TIMING) and action-sequence features (betweenness centrality, density, number of nodes) to predict whether an item was labeled as gender DIF versus DIF-free, finding that the combination of timing and action-sequence features was most informative and that Random Forest and ridge logistic regression achieved comparable overall discrimination (AUC≈0.85–0.86) with acceptable classification performance (all metrics >0.60 except LR precision)."
97. Chen et al. (2023). Using learners’ problem‑solving processes in computer‑based assessments for enhanced learner modeling: A deep learning approach.pdf,Neural Network,Next-step item response correctness (binary),Cross-Cutting_Methodological,Unspecified,Unspecified,Deep_Learning,3,"Using PSLC DataShop Lab study 2012 (cleanedLogs) fraction tutoring the study leveraged problem-solving action sequences, action time durations, learner/item embeddings, and the KC latent skill model to predict next-step item response correctness, finding that the full deep learning model achieved higher ACC/AUC and lower MAE/RMSE than DKT and a variant without process-data learning (e.g., at training ratio 0.7: ACC 0.7225 vs 0.7037 for DKT; AUC 0.7400 vs 0.7157)."
98. Zhou & Jiao. (2022). Exploration of the Stacking Ensemble Machine Learning Algorithm for Cheating Detection in Large-Scale Assessment.pdf,Discriminant Analysis,Cheater detection (binary classification),Cross-Cutting_Methodological,Unspecified,Unspecified,Traditional_Stats,3,"Using the licensure-test dataset with item responses, response time, and augmented summary statistics (OEF), the study leveraged item response scores and OEF (with response time) together with under-sampling (10:1 non-cheater:cheater) to predict cheater status, finding that a stacking meta-model using Discriminant Analysis on the top two base models (Gradient Boosting and Random Forest) achieved the best overall balance (Recall=0.638, Precision=0.551, F1=0.586) with a relatively low false-positive rate (0.014)."
99. Jiao et al. (2021). Editorial: Process Data in Educational and Psychological Measurement.pdf,None,Literature synthesis outcome (not student-level prediction),Cross-Cutting_Methodological,Unspecified,Unspecified,Review_or_Methodology,2,"Using PISA the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This editorial does not report model training, predictive performance metrics, or an empirical dataset used for analysis."
